shipment_id,origin_hub,destination_hub,distance_km,duration_minutes,road_type,weather_condition,traffic_level,shipment_priority,weight_kg,departure_hour,day_of_week,historical_delay_minutes,current_risk_level,rerouted_before,destination_delay_rate,risk_level
SHIP-10013,Jaipur Warehouse,Agra Transit Hub,269.6,171,expressway,Thunderstorm,low,standard,456.71,19,Wednesday,93,high,0,0.1029,high
SHIP-10014,Bhopal Central Hub,Jaipur Warehouse,254.65,406,city_road,Partly Cloudy,high,express,21.0,22,Monday,27,high,0,0.5045,high
SHIP-10015,Agra Transit Hub,Jhansi Hub,466.62,620,city_road,Light Rain,high,standard,345.82,20,Wednesday,59,high,0,0.1653,medium
SHIP-10016,Indore Delivery Hub,Delhi Warehouse Central,188.65,294,city_road,Rain,moderate,standard,196.56,15,Saturday,47,high,0,0.1245,medium
SHIP-10017,Jaipur Warehouse,Kota Transit Hub,550.08,344,highway,Clear,high,standard,189.3,12,Wednesday,45,medium,0,0.4361,medium
SHIP-10018,Agra Transit Hub,Ujjain Hub,185.87,294,city_road,Fog,moderate,express,326.29,3,Friday,59,high,0,0.0347,high
SHIP-10019,Bhopal Central Hub,Agra Transit Hub,240.25,359,city_road,Partly Cloudy,low,standard,425.38,1,Wednesday,9,medium,0,0.3567,low
SHIP-10020,Delhi Warehouse Central,Agra Transit Hub,704.12,452,highway,Clear,low,standard,362.48,17,Tuesday,7,low,0,0.2297,low
SHIP-10021,Jaipur Warehouse,Jhansi Hub,703.4,378,expressway,Heavy Rain,moderate,standard,335.39,0,Friday,84,critical,1,0.44,critical
SHIP-10022,Ujjain Hub,Delhi Warehouse Central,874.18,1303,city_road,Light Rain,high,standard,248.61,21,Saturday,39,high,0,0.3482,high
SHIP-10023,Delhi Warehouse Central,Agra Transit Hub,622.82,683,state_road,Clear,very_high,standard,235.12,5,Friday,65,high,0,0.0098,high
SHIP-10024,Gwalior Transit Hub,Ujjain Hub,604.28,813,city_road,Clear,moderate,critical,230.9,19,Friday,17,medium,0,0.1885,medium
SHIP-10025,Kota Transit Hub,Jhansi Hub,276.6,360,city_road,Light Rain,moderate,standard,73.58,19,Wednesday,31,medium,0,0.2643,medium
SHIP-10026,Jhansi Hub,Gwalior Transit Hub,354.63,283,highway,Clear,moderate,standard,280.19,18,Thursday,14,medium,0,0.3598,low
SHIP-10027,Ujjain Hub,Bhopal Central Hub,508.09,408,state_road,Thunderstorm,moderate,standard,158.42,9,Saturday,125,high,0,0.1938,high
SHIP-10028,Gwalior Transit Hub,Kota Transit Hub,516.97,335,expressway,Rain,moderate,standard,309.5,8,Saturday,58,high,0,0.4407,high
SHIP-10029,Bhopal Central Hub,Jhansi Hub,872.32,626,expressway,Partly Cloudy,high,standard,267.63,16,Sunday,49,medium,0,0.1471,medium
SHIP-10030,Gwalior Transit Hub,Ujjain Hub,593.88,517,state_road,Partly Cloudy,high,standard,470.02,14,Monday,37,medium,0,0.0532,medium
SHIP-10031,Kota Transit Hub,Jaipur Warehouse,653.86,785,city_road,Cloudy,moderate,standard,218.03,1,Sunday,19,high,0,0.1334,medium
SHIP-10032,Bhopal Central Hub,Delhi Warehouse Central,925.66,694,highway,Partly Cloudy,moderate,express,332.53,16,Saturday,17,low,0,0.3952,low
SHIP-10033,Ujjain Hub,Delhi Warehouse Central,467.15,532,state_road,Rain,very_high,standard,296.81,6,Monday,78,high,0,0.5087,critical
SHIP-10034,Kota Transit Hub,Gwalior Transit Hub,324.02,343,state_road,Fog,high,standard,342.51,15,Tuesday,57,high,0,0.3768,high
SHIP-10035,Agra Transit Hub,Gwalior Transit Hub,98.83,49,expressway,Cloudy,moderate,standard,134.22,16,Friday,18,medium,0,0.2648,low
SHIP-10036,Jhansi Hub,Ujjain Hub,426.06,347,highway,Partly Cloudy,moderate,standard,129.37,0,Monday,18,medium,0,0.3135,medium
SHIP-10037,Ujjain Hub,Kota Transit Hub,793.05,908,state_road,Clear,high,standard,280.28,21,Wednesday,38,medium,1,0.1531,medium
SHIP-10038,Agra Transit Hub,Jhansi Hub,252.99,185,highway,Light Rain,moderate,standard,424.68,21,Saturday,38,medium,0,0.1602,medium
SHIP-10039,Ujjain Hub,Gwalior Transit Hub,109.68,173,city_road,Light Rain,moderate,express,360.28,15,Sunday,28,medium,0,0.265,medium
SHIP-10040,Bhopal Central Hub,Gwalior Transit Hub,393.63,215,expressway,Light Rain,low,standard,244.98,20,Wednesday,22,medium,0,0.5464,medium
SHIP-10041,Agra Transit Hub,Ujjain Hub,402.58,650,city_road,Clear,high,standard,128.29,3,Wednesday,44,high,0,0.2471,medium
SHIP-10042,Jhansi Hub,Bhopal Central Hub,59.56,43,highway,Heavy Rain,moderate,standard,379.91,15,Saturday,81,high,0,0.2034,high
SHIP-10043,Kota Transit Hub,Jaipur Warehouse,583.37,835,city_road,Partly Cloudy,moderate,express,463.2,23,Tuesday,19,medium,0,0.4527,medium
SHIP-10044,Indore Delivery Hub,Ujjain Hub,151.02,101,expressway,Rain,high,standard,107.3,2,Friday,71,critical,0,0.0884,high
SHIP-10045,Gwalior Transit Hub,Jaipur Warehouse,779.53,623,highway,Rain,very_high,standard,399.75,0,Monday,110,critical,1,0.4497,critical
SHIP-10046,Delhi Warehouse Central,Bhopal Central Hub,643.9,703,state_road,Light Rain,high,standard,87.05,16,Friday,43,medium,0,0.4192,medium
SHIP-10047,Jhansi Hub,Gwalior Transit Hub,133.9,192,city_road,Partly Cloudy,low,critical,450.49,4,Friday,14,medium,0,0.3531,medium
SHIP-10048,Agra Transit Hub,Indore Delivery Hub,257.28,150,expressway,Light Rain,moderate,standard,321.38,2,Wednesday,29,high,0,0.2911,medium
SHIP-10049,Indore Delivery Hub,Gwalior Transit Hub,992.05,1007,state_road,Clear,moderate,standard,91.32,18,Monday,24,medium,0,0.1858,low
SHIP-10050,Jhansi Hub,Kota Transit Hub,861.51,508,expressway,Rain,low,standard,19.09,10,Tuesday,30,medium,0,0.074,low
SHIP-10051,Agra Transit Hub,Ujjain Hub,284.39,188,highway,Clear,very_high,express,347.61,14,Friday,42,medium,0,0.5181,high
SHIP-10052,Jaipur Warehouse,Indore Delivery Hub,725.79,464,highway,Partly Cloudy,high,standard,303.44,1,Saturday,30,high,0,0.0887,medium
SHIP-10053,Jaipur Warehouse,Delhi Warehouse Central,640.92,975,city_road,Clear,moderate,express,306.05,21,Thursday,16,medium,0,0.4417,medium
SHIP-10054,Jhansi Hub,Jaipur Warehouse,161.68,101,expressway,Heavy Rain,low,critical,241.65,6,Wednesday,71,high,0,0.7028,critical
SHIP-10055,Jaipur Warehouse,Bhopal Central Hub,331.05,185,expressway,Cloudy,low,standard,307.61,17,Thursday,15,low,0,0.1093,low
SHIP-10056,Agra Transit Hub,Jhansi Hub,547.1,324,expressway,Light Rain,moderate,standard,436.74,0,Sunday,29,high,0,0.1364,medium
SHIP-10057,Agra Transit Hub,Delhi Warehouse Central,956.15,806,highway,Light Rain,low,standard,476.05,7,Tuesday,31,low,0,0.1395,low
SHIP-10058,Jhansi Hub,Jaipur Warehouse,837.62,1247,city_road,Heavy Rain,moderate,standard,172.91,15,Sunday,59,high,0,0.2215,high
SHIP-10059,Indore Delivery Hub,Jaipur Warehouse,226.72,152,expressway,Clear,moderate,standard,244.45,14,Tuesday,21,low,1,0.4508,low
SHIP-10060,Kota Transit Hub,Agra Transit Hub,996.1,698,expressway,Light Rain,high,standard,137.24,3,Tuesday,60,high,1,0.3471,high
SHIP-10061,Ujjain Hub,Agra Transit Hub,761.04,641,state_road,Cloudy,low,standard,206.38,12,Tuesday,12,low,1,0.2748,low
SHIP-10062,Indore Delivery Hub,Agra Transit Hub,948.02,471,expressway,Clear,moderate,standard,398.15,11,Sunday,20,low,0,0.2417,low
SHIP-10063,Bhopal Central Hub,Jhansi Hub,261.37,422,city_road,Clear,high,critical,213.07,8,Monday,32,medium,0,0.4455,high
SHIP-10064,Agra Transit Hub,Jhansi Hub,676.57,614,state_road,Partly Cloudy,moderate,standard,196.43,12,Sunday,18,low,0,0.105,low
SHIP-10065,Bhopal Central Hub,Jaipur Warehouse,713.89,737,state_road,Clear,low,standard,425.21,10,Sunday,11,low,0,0.3443,low
SHIP-10066,Indore Delivery Hub,Kota Transit Hub,89.69,82,state_road,Partly Cloudy,low,standard,1.63,11,Sunday,13,low,0,0.0114,low
SHIP-10067,Ujjain Hub,Kota Transit Hub,225.33,189,highway,Clear,high,standard,426.24,3,Thursday,32,high,0,0.3902,high
SHIP-10068,Ujjain Hub,Jhansi Hub,191.97,229,state_road,Cloudy,high,standard,91.52,2,Wednesday,40,high,0,0.2824,high
SHIP-10069,Delhi Warehouse Central,Jhansi Hub,671.58,473,expressway,Clear,high,standard,137.98,4,Sunday,32,high,0,0.2032,medium
SHIP-10070,Ujjain Hub,Bhopal Central Hub,243.22,153,highway,Partly Cloudy,low,critical,181.44,5,Thursday,10,medium,1,0.2648,medium
SHIP-10071,Kota Transit Hub,Bhopal Central Hub,825.04,712,highway,Thunderstorm,high,standard,440.45,3,Monday,115,critical,0,0.4652,critical
SHIP-10072,Ujjain Hub,Indore Delivery Hub,412.28,360,highway,Cloudy,high,standard,454.43,0,Friday,38,high,0,0.1336,high
SHIP-10073,Indore Delivery Hub,Bhopal Central Hub,950.9,594,highway,Partly Cloudy,low,express,330.93,22,Tuesday,15,medium,0,0.1402,low
SHIP-10074,Delhi Warehouse Central,Kota Transit Hub,712.25,454,highway,Cloudy,very_high,standard,220.28,4,Friday,61,high,0,0.4201,high
SHIP-10075,Indore Delivery Hub,Jaipur Warehouse,233.23,150,highway,Clear,moderate,standard,258.55,1,Sunday,25,medium,0,0.1669,low
SHIP-10076,Indore Delivery Hub,Gwalior Transit Hub,436.53,378,highway,Clear,very_high,standard,290.62,13,Tuesday,54,medium,0,0.3113,medium
SHIP-10077,Gwalior Transit Hub,Kota Transit Hub,94.32,94,state_road,Clear,high,standard,477.04,10,Wednesday,39,medium,0,0.1961,medium
SHIP-10078,Delhi Warehouse Central,Kota Transit Hub,387.36,687,city_road,Fog,moderate,critical,484.61,8,Tuesday,54,high,0,0.357,high
SHIP-10079,Indore Delivery Hub,Ujjain Hub,194.3,139,expressway,Rain,moderate,standard,423.82,7,Sunday,43,high,0,0.0383,medium
SHIP-10080,Gwalior Transit Hub,Kota Transit Hub,746.58,478,expressway,Rain,moderate,standard,292.28,6,Tuesday,54,high,0,0.3908,high
SHIP-10081,Gwalior Transit Hub,Bhopal Central Hub,522.57,567,state_road,Fog,high,standard,195.98,14,Saturday,64,high,0,0.2797,high
SHIP-10082,Delhi Warehouse Central,Jaipur Warehouse,61.04,60,state_road,Thunderstorm,moderate,standard,115.91,8,Friday,75,high,0,0.23,high
SHIP-10083,Bhopal Central Hub,Gwalior Transit Hub,494.79,405,highway,Rain,high,express,267.69,9,Saturday,62,high,0,0.3226,high
SHIP-10084,Kota Transit Hub,Jhansi Hub,382.76,500,city_road,Light Rain,low,standard,173.47,17,Friday,22,low,0,0.3581,low
SHIP-10085,Ujjain Hub,Kota Transit Hub,382.83,260,highway,Partly Cloudy,high,standard,37.3,18,Friday,30,medium,0,0.241,low
SHIP-10086,Kota Transit Hub,Bhopal Central Hub,596.16,579,state_road,Clear,moderate,critical,238.63,21,Monday,21,medium,0,0.0647,medium
SHIP-10087,Ujjain Hub,Delhi Warehouse Central,741.02,474,highway,Cloudy,low,standard,285.97,1,Tuesday,18,medium,0,0.3611,medium
SHIP-10088,Indore Delivery Hub,Delhi Warehouse Central,911.9,619,expressway,Cloudy,high,standard,306.05,21,Friday,43,high,0,0.2811,medium
SHIP-10089,Agra Transit Hub,Gwalior Transit Hub,243.82,123,expressway,Fog,low,express,37.83,13,Monday,63,medium,0,0.5086,high
SHIP-10090,Delhi Warehouse Central,Gwalior Transit Hub,641.55,423,highway,Partly Cloudy,low,standard,242.07,20,Saturday,14,low,0,0.3198,low
SHIP-10091,Kota Transit Hub,Bhopal Central Hub,238.09,399,city_road,Light Rain,low,standard,328.3,9,Saturday,28,low,0,0.4222,low
SHIP-10092,Kota Transit Hub,Agra Transit Hub,148.95,114,highway,Cloudy,moderate,standard,480.57,4,Wednesday,20,high,1,0.3579,high
SHIP-10093,Indore Delivery Hub,Bhopal Central Hub,281.59,240,highway,Clear,moderate,standard,13.5,4,Wednesday,20,medium,0,0.6245,medium
SHIP-10094,Bhopal Central Hub,Delhi Warehouse Central,770.8,926,city_road,Cloudy,high,standard,338.46,1,Tuesday,40,high,1,0.3667,high
SHIP-10095,Gwalior Transit Hub,Delhi Warehouse Central,966.23,1411,city_road,Cloudy,high,critical,32.11,21,Friday,48,high,0,0.3313,high
SHIP-10096,Indore Delivery Hub,Kota Transit Hub,402.91,546,city_road,Cloudy,moderate,standard,80.26,12,Tuesday,29,medium,0,0.2246,low
SHIP-10097,Jaipur Warehouse,Delhi Warehouse Central,366.48,213,expressway,Cloudy,moderate,standard,87.48,6,Tuesday,20,medium,0,0.2878,low
SHIP-10098,Gwalior Transit Hub,Jaipur Warehouse,480.81,411,highway,Clear,low,standard,165.11,20,Sunday,12,low,0,0.45,low
SHIP-10099,Delhi Warehouse Central,Ujjain Hub,509.72,574,state_road,Cloudy,high,express,415.82,14,Sunday,37,medium,0,0.668,high
SHIP-10100,Gwalior Transit Hub,Kota Transit Hub,103.19,158,city_road,Light Rain,moderate,standard,428.26,20,Tuesday,29,medium,0,0.4413,medium
SHIP-10101,Bhopal Central Hub,Gwalior Transit Hub,273.38,354,city_road,Cloudy,low,express,188.1,14,Monday,13,low,0,0.0556,low
SHIP-10102,Gwalior Transit Hub,Jaipur Warehouse,535.48,349,highway,Cloudy,low,standard,216.22,5,Tuesday,13,medium,0,0.1345,low
SHIP-10103,Delhi Warehouse Central,Agra Transit Hub,687.18,620,state_road,Clear,moderate,standard,109.3,6,Saturday,19,low,0,0.2484,low
SHIP-10104,Bhopal Central Hub,Gwalior Transit Hub,681.62,590,highway,Clear,high,express,216.82,3,Wednesday,45,high,0,0.3708,high
SHIP-10105,Kota Transit Hub,Jhansi Hub,380.24,304,highway,Partly Cloudy,low,standard,138.14,3,Friday,10,medium,0,0.4585,low
SHIP-10106,Kota Transit Hub,Jaipur Warehouse,261.91,372,city_road,Partly Cloudy,low,standard,88.27,0,Sunday,9,medium,0,0.2,low
SHIP-10107,Ujjain Hub,Jhansi Hub,800.17,1276,city_road,Cloudy,low,standard,80.08,10,Thursday,18,low,0,0.3151,low
SHIP-10108,Gwalior Transit Hub,Indore Delivery Hub,635.72,307,expressway,Heavy Rain,very_high,standard,388.05,4,Thursday,108,critical,0,0.3447,critical
SHIP-10109,Kota Transit Hub,Jaipur Warehouse,255.35,268,state_road,Clear,high,critical,59.36,1,Thursday,44,high,0,0.3763,high
SHIP-10110,Delhi Warehouse Central,Jhansi Hub,378.98,338,state_road,Clear,low,standard,308.4,4,Friday,12,medium,0,0.6062,low
SHIP-10111,Jhansi Hub,Agra Transit Hub,442.58,752,city_road,Partly Cloudy,low,express,84.57,4,Tuesday,16,medium,0,0.3566,medium
SHIP-10112,Jhansi Hub,Agra Transit Hub,291.34,466,city_road,Partly Cloudy,high,express,419.08,19,Saturday,28,medium,0,0.275,medium
SHIP-10113,Bhopal Central Hub,Jhansi Hub,914.31,1541,city_road,Cloudy,low,standard,137.96,12,Friday,12,low,0,0.4695,low
SHIP-10114,Kota Transit Hub,Gwalior Transit Hub,600.91,584,state_road,Heavy Rain,very_high,standard,23.4,11,Friday,123,critical,0,0.5158,critical
SHIP-10115,Kota Transit Hub,Delhi Warehouse Central,820.35,581,expressway,Rain,low,standard,226.58,9,Saturday,48,medium,1,0.2131,medium
SHIP-10116,Jhansi Hub,Delhi Warehouse Central,125.48,130,state_road,Clear,low,critical,499.9,12,Monday,12,low,1,0.5329,medium
SHIP-10117,Kota Transit Hub,Indore Delivery Hub,917.99,1558,city_road,Thunderstorm,high,express,406.76,8,Saturday,150,critical,0,0.0673,critical
SHIP-10118,Gwalior Transit Hub,Indore Delivery Hub,827.42,1395,city_road,Clear,moderate,standard,285.56,4,Friday,16,medium,0,0.5499,medium
SHIP-10119,Jaipur Warehouse,Agra Transit Hub,683.13,474,expressway,Light Rain,very_high,standard,95.53,5,Sunday,73,high,0,0.1219,high
SHIP-10120,Agra Transit Hub,Delhi Warehouse Central,862.42,700,highway,Light Rain,high,standard,59.64,16,Monday,61,medium,0,0.0575,medium
SHIP-10121,Ujjain Hub,Agra Transit Hub,117.8,73,highway,Light Rain,moderate,standard,419.44,4,Sunday,38,high,0,0.3261,high
SHIP-10122,Bhopal Central Hub,Jaipur Warehouse,965.27,1037,state_road,Partly Cloudy,high,critical,394.07,10,Sunday,42,medium,1,0.4423,high
SHIP-10123,Jaipur Warehouse,Jhansi Hub,723.61,606,highway,Partly Cloudy,high,standard,231.63,5,Sunday,33,high,0,0.5681,high
SHIP-10124,Jhansi Hub,Kota Transit Hub,260.08,176,highway,Cloudy,moderate,express,211.28,8,Sunday,27,medium,0,0.1368,medium
SHIP-10125,Kota Transit Hub,Delhi Warehouse Central,851.95,913,state_road,Clear,low,standard,374.59,11,Sunday,8,low,1,0.3335,low
SHIP-10126,Ujjain Hub,Gwalior Transit Hub,985.3,1403,city_road,Clear,low,express,268.48,3,Sunday,11,medium,0,0.2187,low
SHIP-10127,Kota Transit Hub,Ujjain Hub,920.55,746,highway,Cloudy,low,standard,202.68,17,Wednesday,11,low,0,0.2461,low
SHIP-10128,Delhi Warehouse Central,Jaipur Warehouse,327.3,489,city_road,Cloudy,high,express,126.61,14,Monday,30,medium,1,0.4896,high
SHIP-10129,Delhi Warehouse Central,Kota Transit Hub,837.1,991,state_road,Light Rain,moderate,critical,62.16,3,Thursday,28,high,0,0.0399,high
SHIP-10130,Ujjain Hub,Agra Transit Hub,248.36,344,city_road,Clear,low,standard,297.8,13,Monday,10,low,0,0.5784,low
SHIP-10131,Ujjain Hub,Indore Delivery Hub,423.69,545,city_road,Heavy Rain,high,critical,413.2,17,Sunday,98,critical,0,0.375,critical
SHIP-10132,Jhansi Hub,Agra Transit Hub,768.81,843,state_road,Clear,low,standard,373.35,16,Sunday,10,low,0,0.3012,low
SHIP-10133,Ujjain Hub,Bhopal Central Hub,406.46,587,city_road,Heavy Rain,moderate,critical,348.46,1,Wednesday,60,critical,0,0.3581,critical
SHIP-10134,Gwalior Transit Hub,Agra Transit Hub,279.79,247,highway,Partly Cloudy,high,express,464.5,20,Friday,35,medium,0,0.1848,medium
SHIP-10135,Kota Transit Hub,Jaipur Warehouse,270.22,189,highway,Cloudy,moderate,standard,197.86,18,Thursday,22,medium,0,0.2793,medium
SHIP-10136,Jaipur Warehouse,Bhopal Central Hub,905.16,576,highway,Heavy Rain,low,standard,69.47,21,Monday,75,high,0,0.2737,high
SHIP-10137,Indore Delivery Hub,Jaipur Warehouse,589.76,477,highway,Partly Cloudy,moderate,critical,51.87,13,Saturday,24,low,0,0.3732,medium
SHIP-10138,Ujjain Hub,Gwalior Transit Hub,206.81,300,city_road,Clear,high,standard,477.55,3,Tuesday,36,high,0,0.1068,medium
SHIP-10139,Bhopal Central Hub,Jaipur Warehouse,180.59,109,highway,Partly Cloudy,moderate,standard,294.89,1,Saturday,27,medium,0,0.1969,low
SHIP-10140,Delhi Warehouse Central,Agra Transit Hub,630.46,843,city_road,Clear,low,express,405.59,12,Friday,9,low,0,0.215,low
SHIP-10141,Gwalior Transit Hub,Bhopal Central Hub,755.69,524,expressway,Cloudy,low,standard,268.24,6,Thursday,13,low,0,0.3789,low
SHIP-10142,Indore Delivery Hub,Bhopal Central Hub,686.95,825,city_road,Partly Cloudy,high,express,199.85,21,Thursday,28,medium,0,0.4393,medium
SHIP-10143,Jaipur Warehouse,Ujjain Hub,364.58,250,highway,Heavy Rain,moderate,standard,100.93,7,Monday,85,high,1,0.3523,critical
SHIP-10144,Indore Delivery Hub,Ujjain Hub,149.02,95,expressway,Light Rain,high,standard,428.35,9,Friday,64,medium,0,0.6748,high
SHIP-10145,Ujjain Hub,Indore Delivery Hub,76.25,72,state_road,Clear,moderate,standard,32.69,20,Friday,24,medium,0,0.4877,low
SHIP-10146,Jhansi Hub,Gwalior Transit Hub,64.95,79,city_road,Rain,moderate,standard,450.22,2,Sunday,63,high,0,0.4205,high
SHIP-10147,Delhi Warehouse Central,Kota Transit Hub,831.26,627,highway,Partly Cloudy,very_high,express,103.3,3,Tuesday,74,high,0,0.2751,high
SHIP-10148,Delhi Warehouse Central,Kota Transit Hub,728.5,645,highway,Partly Cloudy,low,standard,5.76,20,Tuesday,10,low,0,0.148,low
SHIP-10149,Jhansi Hub,Agra Transit Hub,456.67,277,highway,Partly Cloudy,low,standard,52.84,20,Thursday,16,low,0,0.1523,low
SHIP-10150,Kota Transit Hub,Indore Delivery Hub,351.74,411,state_road,Light Rain,moderate,standard,441.87,5,Saturday,39,high,1,0.4623,high
SHIP-10151,Agra Transit Hub,Kota Transit Hub,237.43,163,expressway,Partly Cloudy,low,express,37.78,19,Thursday,13,low,0,0.5464,low
SHIP-10152,Gwalior Transit Hub,Bhopal Central Hub,916.1,596,expressway,Light Rain,moderate,critical,178.27,6,Wednesday,30,medium,0,0.1512,medium
SHIP-10153,Delhi Warehouse Central,Kota Transit Hub,544.73,405,highway,Clear,very_high,express,125.91,6,Thursday,41,medium,0,0.1084,medium
SHIP-10154,Bhopal Central Hub,Indore Delivery Hub,454.09,551,city_road,Fog,high,standard,19.39,21,Sunday,95,high,0,0.1728,high
SHIP-10155,Delhi Warehouse Central,Ujjain Hub,375.31,312,highway,Rain,moderate,standard,266.2,16,Tuesday,54,high,0,0.2898,medium
SHIP-10156,Indore Delivery Hub,Ujjain Hub,302.92,245,highway,Partly Cloudy,high,express,499.17,5,Sunday,29,high,0,0.7111,high
SHIP-10157,Delhi Warehouse Central,Jaipur Warehouse,352.05,534,city_road,Rain,low,express,426.65,18,Monday,40,high,0,0.094,high
SHIP-10158,Delhi Warehouse Central,Gwalior Transit Hub,127.36,93,highway,Cloudy,moderate,standard,85.28,17,Wednesday,20,medium,0,0.3911,medium
SHIP-10159,Agra Transit Hub,Bhopal Central Hub,316.18,270,state_road,Clear,moderate,standard,442.27,11,Thursday,23,low,0,0.0707,low
SHIP-10160,Agra Transit Hub,Bhopal Central Hub,770.15,594,highway,Clear,moderate,standard,226.44,18,Tuesday,25,medium,0,0.3866,low
SHIP-10161,Jaipur Warehouse,Gwalior Transit Hub,515.28,444,state_road,Clear,low,standard,137.35,10,Saturday,12,low,0,0.4903,low
SHIP-10162,Kota Transit Hub,Gwalior Transit Hub,309.03,234,highway,Rain,high,standard,320.51,16,Wednesday,62,high,0,0.3319,high
SHIP-10163,Bhopal Central Hub,Jhansi Hub,246.81,168,expressway,Cloudy,high,standard,109.13,2,Monday,48,high,0,0.0606,high
SHIP-10164,Delhi Warehouse Central,Jaipur Warehouse,988.16,1654,city_road,Partly Cloudy,high,express,439.95,14,Monday,29,medium,0,0.2462,medium
SHIP-10165,Delhi Warehouse Central,Agra Transit Hub,744.68,524,expressway,Clear,low,standard,312.47,4,Saturday,9,medium,0,0.0968,low
SHIP-10166,Gwalior Transit Hub,Agra Transit Hub,660.86,535,highway,Cloudy,moderate,standard,68.87,3,Tuesday,29,high,0,0.2666,medium
SHIP-10167,Agra Transit Hub,Gwalior Transit Hub,154.82,98,highway,Cloudy,very_high,standard,285.75,0,Sunday,55,high,0,0.2189,high
SHIP-10168,Bhopal Central Hub,Gwalior Transit Hub,487.35,479,state_road,Light Rain,moderate,standard,255.68,20,Friday,34,medium,0,0.0703,medium
SHIP-10169,Jaipur Warehouse,Jhansi Hub,175.11,152,highway,Fog,moderate,standard,236.26,2,Sunday,65,high,0,0.2191,high
SHIP-10170,Kota Transit Hub,Indore Delivery Hub,323.79,203,highway,Partly Cloudy,very_high,express,183.12,9,Saturday,61,medium,0,0.0771,high
SHIP-10171,Jhansi Hub,Bhopal Central Hub,984.2,775,highway,Partly Cloudy,moderate,standard,237.63,12,Sunday,28,low,0,0.188,low
SHIP-10172,Kota Transit Hub,Gwalior Transit Hub,105.34,67,expressway,Partly Cloudy,moderate,express,293.42,6,Tuesday,26,low,0,0.4735,low
SHIP-10173,Indore Delivery Hub,Jhansi Hub,364.17,329,state_road,Heavy Rain,moderate,standard,367.05,13,Tuesday,72,high,0,0.1191,high
SHIP-10174,Delhi Warehouse Central,Agra Transit Hub,630.64,427,expressway,Clear,moderate,critical,459.02,12,Sunday,22,low,0,0.5656,medium
SHIP-10175,Jaipur Warehouse,Indore Delivery Hub,275.97,289,state_road,Partly Cloudy,high,standard,23.15,23,Sunday,40,high,0,0.3698,high
SHIP-10176,Indore Delivery Hub,Jhansi Hub,133.22,86,expressway,Rain,moderate,standard,285.1,20,Tuesday,59,high,0,0.0383,high
SHIP-10177,Bhopal Central Hub,Jhansi Hub,516.92,312,highway,Clear,moderate,standard,376.24,23,Friday,25,medium,0,0.3123,medium
SHIP-10178,Jhansi Hub,Jaipur Warehouse,377.49,250,expressway,Partly Cloudy,low,express,58.66,21,Thursday,11,low,0,0.5013,low
SHIP-10179,Agra Transit Hub,Ujjain Hub,751.52,495,expressway,Light Rain,low,standard,455.84,21,Thursday,20,medium,0,0.3663,low
SHIP-10180,Jaipur Warehouse,Bhopal Central Hub,243.76,264,state_road,Clear,moderate,standard,123.25,4,Monday,23,medium,0,0.2781,low
SHIP-10181,Jaipur Warehouse,Agra Transit Hub,610.75,520,state_road,Partly Cloudy,low,standard,416.83,10,Thursday,13,low,0,0.3809,low
